model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
1119,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
903,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
169,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
1005,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
753,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
1269,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
341,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
1391,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
1385,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
773,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
1461,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
367,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
1321,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
547,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
1261,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
499,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,softmax,10
1111,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
1337,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
1389,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
147,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
1275,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
201,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
525,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,softmax,10
