model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
1572_test,0.91444,0.91000,0.81636,0.87078,0.91700,0.90300,0.91000,0.90434,0.91700,0.91063,0.91000
1572_train,0.96745,0.96500,0.92859,0.94701,0.96900,0.96100,0.96500,0.96131,0.96900,0.96514,0.96500
,,,,,,,,,,,
2016_test,0.91415,0.81900,0.63069,0.73778,0.96900,0.66900,0.81900,0.74538,0.96900,0.84261,0.81900
2016_train,0.93678,0.86800,0.73067,0.79500,0.97800,0.75800,0.86800,0.80164,0.97800,0.88108,0.86800
,,,,,,,,,,,
1516_test,0.91407,0.82050,0.63375,0.73957,0.96800,0.67300,0.82050,0.74749,0.96800,0.84357,0.82050
1516_train,0.91848,0.83150,0.65619,0.75194,0.96900,0.69400,0.83150,0.76000,0.96900,0.85187,0.83150
,,,,,,,,,,,
2922_test,0.91386,0.89800,0.79188,0.84986,0.92300,0.87300,0.89800,0.87905,0.92300,0.90049,0.89800
2922_train,0.96822,0.95750,0.91328,0.93098,0.97500,0.94000,0.95750,0.94203,0.97500,0.95823,0.95750
,,,,,,,,,,,
1864_test,0.91360,0.90250,0.80106,0.85778,0.92000,0.88500,0.90250,0.88889,0.92000,0.90418,0.90250
1864_train,0.96832,0.96250,0.92349,0.94117,0.97200,0.95300,0.96250,0.95388,0.97200,0.96285,0.96250
,,,,,,,,,,,
2712_test,0.91353,0.90750,0.81126,0.86671,0.91700,0.89800,0.90750,0.89990,0.91700,0.90837,0.90750
2712_train,0.96284,0.96100,0.92042,0.94175,0.96400,0.95800,0.96100,0.95825,0.96400,0.96112,0.96100
,,,,,,,,,,,
820_test,0.91317,0.91000,0.81636,0.87144,0.91500,0.90500,0.91000,0.90594,0.91500,0.91045,0.91000
820_train,0.96465,0.96250,0.92349,0.94367,0.96600,0.95900,0.96250,0.95929,0.96600,0.96263,0.96250
,,,,,,,,,,,
1504_test,0.91309,0.91150,0.81942,0.87424,0.91400,0.90900,0.91150,0.90945,0.91400,0.91172,0.91150
1504_train,0.95043,0.94950,0.89696,0.92620,0.95100,0.94800,0.94950,0.94816,0.95100,0.94958,0.94950
,,,,,,,,,,,
1684_test,0.91291,0.91450,0.82555,0.87992,0.91200,0.91700,0.91450,0.91658,0.91200,0.91429,0.91450
1684_train,0.96500,0.96500,0.92859,0.94873,0.96500,0.96500,0.96500,0.96500,0.96500,0.96500,0.96500
,,,,,,,,,,,
248_test,0.91289,0.90400,0.80412,0.86077,0.91800,0.89000,0.90400,0.89300,0.91800,0.90533,0.90400
248_train,0.96434,0.95850,0.91532,0.93555,0.96800,0.94900,0.95850,0.94995,0.96800,0.95889,0.95850
,,,,,,,,,,,
66_test,0.91288,0.90050,0.79698,0.85463,0.92000,0.88100,0.90050,0.88547,0.92000,0.90240,0.90050
