model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
869_test,0.86835,0.86900,0.73271,0.82093,0.86800,0.87000,0.86900,0.86974,0.86800,0.86887,0.86900
869_train,0.86521,0.86750,0.72965,0.81976,0.86400,0.87100,0.86750,0.87009,0.86400,0.86703,0.86750
,,,,,,,,,,,
1789_test,0.86688,0.86100,0.71638,0.80852,0.87000,0.85200,0.86100,0.85462,0.87000,0.86224,0.86100
1789_train,0.86324,0.85800,0.71026,0.80515,0.86600,0.85000,0.85800,0.85236,0.86600,0.85913,0.85800
,,,,,,,,,,,
739_test,0.86671,0.86050,0.71536,0.80779,0.87000,0.85100,0.86050,0.85378,0.87000,0.86181,0.86050
739_train,0.91190,0.90650,0.80922,0.86573,0.91500,0.89800,0.90650,0.89971,0.91500,0.90729,0.90650
,,,,,,,,,,,
261_test,0.86624,0.85350,0.70108,0.79702,0.87300,0.83400,0.85350,0.84023,0.87300,0.85630,0.85350
261_train,0.89984,0.89600,0.78780,0.85296,0.90200,0.89000,0.89600,0.89130,0.90200,0.89662,0.89600
,,,,,,,,,,,
157_test,0.86619,0.85900,0.71230,0.80561,0.87000,0.84800,0.85900,0.85127,0.87000,0.86053,0.85900
157_train,0.88833,0.88350,0.76229,0.83665,0.89100,0.87600,0.88350,0.87783,0.89100,0.88437,0.88350
,,,,,,,,,,,
677_test,0.86570,0.73300,0.45521,0.65511,0.93600,0.53000,0.73300,0.66572,0.93600,0.77805,0.73300
677_train,0.93923,0.86650,0.72761,0.79219,0.98300,0.75000,0.86650,0.79724,0.98300,0.88043,0.86650
,,,,,,,,,,,
881_test,0.86560,0.87050,0.73577,0.82461,0.86300,0.87800,0.87050,0.87614,0.86300,0.86952,0.87050
881_train,0.85992,0.86550,0.72557,0.81865,0.85700,0.87400,0.86550,0.87182,0.85700,0.86435,0.86550
,,,,,,,,,,,
1783_test,0.86556,0.85150,0.69700,0.79421,0.87300,0.83000,0.85150,0.83701,0.87300,0.85463,0.85150
1783_train,0.86426,0.85150,0.69700,0.79466,0.87100,0.83200,0.85150,0.83831,0.87100,0.85434,0.85150
,,,,,,,,,,,
843_test,0.86552,0.86650,0.72761,0.81798,0.86500,0.86800,0.86650,0.86760,0.86500,0.86630,0.86650
843_train,0.96393,0.96700,0.93267,0.95379,0.96200,0.97200,0.96700,0.97172,0.96200,0.96683,0.96700
,,,,,,,,,,,
149_test,0.86500,0.86500,0.72455,0.81573,0.86500,0.86500,0.86500,0.86500,0.86500,0.86500,0.86500
149_train,0.86852,0.86950,0.73373,0.82169,0.86800,0.87100,0.86950,0.87061,0.86800,0.86930,0.86950
,,,,,,,,,,,
949_test,0.86492,0.86100,0.71638,0.80928,0.86700,0.85500,0.86100,0.85672,0.86700,0.86183,0.86100
949_train,0.85315,0.85150,0.69700,0.79869,0.85400,0.84900,0.85150,0.84975,0.85400,0.85187,0.85150
,,,,,,,,,,,
151_test,0.86448,0.86350,0.72149,0.81349,0.86500,0.86200,0.86350,0.86241,0.86500,0.86370,0.86350
151_train,0.86579,0.86350,0.72149,0.81296,0.86700,0.86000,0.86350,0.86097,0.86700,0.86398,0.86350
,,,,,,,,,,,
1503_test,0.86410,0.86050,0.71536,0.80880,0.86600,0.85500,0.86050,0.85658,0.86600,0.86126,0.86050
1503_train,0.96162,0.96100,0.92042,0.94260,0.96200,0.96000,0.96100,0.96008,0.96200,0.96104,0.96100
,,,,,,,,,,,
1793_test,0.86399,0.85450,0.70312,0.79938,0.86900,0.84000,0.85450,0.84451,0.86900,0.85658,0.85450
1793_train,0.87714,0.87000,0.73475,0.81895,0.88100,0.85900,0.87000,0.86204,0.88100,0.87141,0.87000
,,,,,,,,,,,
1785_test,0.86390,0.86750,0.72965,0.82031,0.86200,0.87300,0.86750,0.87159,0.86200,0.86677,0.86750
1785_train,0.87187,0.87350,0.74189,0.82695,0.87100,0.87600,0.87350,0.87538,0.87100,0.87318,0.87350
,,,,,,,,,,,
1707_test,0.86341,0.82250,0.63783,0.75370,0.88500,0.76000,0.82250,0.78667,0.88500,0.83294,0.82250
1707_train,0.94549,0.93150,0.86023,0.89392,0.95400,0.90900,0.93150,0.91292,0.95400,0.93301,0.93150
,,,,,,,,,,,
101_test,0.86298,0.83450,0.66231,0.77018,0.87800,0.79100,0.83450,0.80773,0.87800,0.84140,0.83450
101_train,0.95494,0.95000,0.89798,0.92431,0.95800,0.94200,0.95000,0.94291,0.95800,0.95040,0.95000
,,,,,,,,,,,
271_test,0.86276,0.86800,0.73067,0.82163,0.86000,0.87600,0.86800,0.87398,0.86000,0.86694,0.86800
271_train,0.85815,0.86800,0.73067,0.82361,0.85300,0.88300,0.86800,0.87938,0.85300,0.86599,0.86800
,,,,,,,,,,,
1047_test,0.86179,0.85950,0.71332,0.80809,0.86300,0.85600,0.85950,0.85700,0.86300,0.85999,0.85950
1047_train,0.86042,0.85550,0.70516,0.80226,0.86300,0.84800,0.85550,0.85025,0.86300,0.85658,0.85550
,,,,,,,,,,,
1001_test,0.86166,0.84200,0.67762,0.78134,0.87200,0.81200,0.84200,0.82264,0.87200,0.84660,0.84200
1001_train,0.95832,0.95400,0.90614,0.93027,0.96100,0.94700,0.95400,0.94773,0.96100,0.95432,0.95400
,,,,,,,,,,,
45_test,0.86081,0.79000,0.57152,0.71416,0.89800,0.68200,0.79000,0.73849,0.89800,0.81047,0.79000
45_train,0.91445,0.85800,0.71026,0.78780,0.94700,0.76900,0.85800,0.80390,0.94700,0.86961,0.85800
,,,,,,,,,,,
1129_test,0.86013,0.74600,0.48174,0.66789,0.92000,0.57200,0.74600,0.68249,0.92000,0.78365,0.74600
1129_train,0.94968,0.88550,0.76637,0.81587,0.98900,0.78200,0.88550,0.81939,0.98900,0.89624,0.88550
,,,,,,,,,,,
1765_test,0.86003,0.86200,0.71842,0.81284,0.85900,0.86500,0.86200,0.86419,0.85900,0.86158,0.86200
1765_train,0.85588,0.85950,0.71332,0.81043,0.85400,0.86500,0.85950,0.86350,0.85400,0.85872,0.85950
,,,,,,,,,,,
295_test,0.85970,0.85150,0.69700,0.79629,0.86400,0.83900,0.85150,0.84293,0.86400,0.85333,0.85150
295_train,0.84643,0.83750,0.66844,0.77966,0.85100,0.82400,0.83750,0.82863,0.85100,0.83966,0.83750
,,,,,,,,,,,
1561_test,0.85945,0.85650,0.70720,0.80421,0.86100,0.85200,0.85650,0.85332,0.86100,0.85714,0.85650
1561_train,0.97339,0.97400,0.94695,0.96213,0.97300,0.97500,0.97400,0.97495,0.97300,0.97397,0.97400
,,,,,,,,,,,
961_test,0.85917,0.85950,0.71332,0.80912,0.85900,0.86000,0.85950,0.85986,0.85900,0.85943,0.85950
961_train,0.97959,0.98050,0.96021,0.97182,0.97900,0.98200,0.98050,0.98195,0.97900,0.98047,0.98050
,,,,,,,,,,,
1677_test,0.85917,0.85950,0.71332,0.80912,0.85900,0.86000,0.85950,0.85986,0.85900,0.85943,0.85950
1677_train,0.85134,0.85200,0.69802,0.80015,0.85100,0.85300,0.85200,0.85271,0.85100,0.85185,0.85200
,,,,,,,,,,,
829_test,0.85909,0.67400,0.33483,0.60636,0.95600,0.39200,0.67400,0.61125,0.95600,0.74571,0.67400
829_train,0.93291,0.83700,0.66741,0.75546,0.99000,0.68400,0.83700,0.75804,0.99000,0.85863,0.83700
,,,,,,,,,,,
1059_test,0.85894,0.85500,0.70414,0.80203,0.86100,0.84900,0.85500,0.85079,0.86100,0.85586,0.85500
1059_train,0.89279,0.88700,0.76943,0.84062,0.89600,0.87800,0.88700,0.88016,0.89600,0.88801,0.88700
,,,,,,,,,,,
117_test,0.85889,0.86250,0.71945,0.81412,0.85700,0.86800,0.86250,0.86653,0.85700,0.86174,0.86250
117_train,0.85772,0.86100,0.71638,0.81214,0.85600,0.86600,0.86100,0.86465,0.85600,0.86030,0.86100
,,,,,,,,,,,
943_test,0.85774,0.70600,0.40012,0.63203,0.93700,0.47500,0.70600,0.64090,0.93700,0.76117,0.70600
943_train,0.86944,0.73150,0.45215,0.65341,0.94300,0.52000,0.73150,0.66268,0.94300,0.77837,0.73150
,,,,,,,,,,,
603_test,0.85769,0.85900,0.71230,0.80890,0.85700,0.86100,0.85900,0.86044,0.85700,0.85872,0.85900
603_train,0.95229,0.95600,0.91022,0.93846,0.95000,0.96200,0.95600,0.96154,0.95000,0.95573,0.95600
,,,,,,,,,,,
167_test,0.85709,0.85150,0.69700,0.79724,0.86000,0.84300,0.85150,0.84562,0.86000,0.85275,0.85150
167_train,0.87872,0.87450,0.74393,0.82570,0.88100,0.86800,0.87450,0.86969,0.88100,0.87531,0.87450
,,,,,,,,,,,
957_test,0.85660,0.86350,0.72149,0.81672,0.85300,0.87400,0.86350,0.87130,0.85300,0.86205,0.86350
957_train,0.84353,0.84850,0.69088,0.79755,0.84100,0.85600,0.84850,0.85381,0.84100,0.84736,0.84850
,,,,,,,,,,,
1603_test,0.85643,0.59050,0.16446,0.54978,0.99500,0.18600,0.59050,0.55003,0.99500,0.70844,0.59050
1603_train,0.87843,0.65400,0.29402,0.59102,1.00000,0.30800,0.65400,0.59102,1.00000,0.74294,0.65400
,,,,,,,,,,,
763_test,0.85585,0.83250,0.65823,0.76948,0.86800,0.79700,0.83250,0.81046,0.86800,0.83824,0.83250
763_train,0.87364,0.85250,0.69904,0.79292,0.88500,0.82000,0.85250,0.83099,0.88500,0.85714,0.85250
,,,,,,,,,,,
1069_test,0.85551,0.85650,0.70720,0.80572,0.85500,0.85800,0.85650,0.85757,0.85500,0.85628,0.85650
1069_train,0.84600,0.84600,0.68578,0.79272,0.84600,0.84600,0.84600,0.84600,0.84600,0.84600,0.84600
,,,,,,,,,,,
849_test,0.85546,0.85250,0.69904,0.79940,0.85700,0.84800,0.85250,0.84936,0.85700,0.85316,0.85250
849_train,0.97158,0.97250,0.94389,0.96018,0.97100,0.97400,0.97250,0.97392,0.97100,0.97246,0.97250
,,,,,,,,,,,
237_test,0.85478,0.78700,0.56539,0.71180,0.89000,0.68400,0.78700,0.73798,0.89000,0.80689,0.78700
237_train,0.95383,0.92600,0.84901,0.87949,0.97100,0.88100,0.92600,0.89083,0.97100,0.92919,0.92600
,,,,,,,,,,,
697_test,0.85458,0.71900,0.42665,0.64347,0.92500,0.51300,0.71900,0.65510,0.92500,0.76700,0.71900
697_train,0.95252,0.89000,0.77556,0.82154,0.99100,0.78900,0.89000,0.82446,0.99100,0.90009,0.89000
,,,,,,,,,,,
211_test,0.85402,0.82900,0.65109,0.76510,0.86700,0.79100,0.82900,0.80576,0.86700,0.83526,0.82900
211_train,0.96360,0.95500,0.90818,0.92889,0.96900,0.94100,0.95500,0.94261,0.96900,0.95562,0.95500
,,,,,,,,,,,
461_test,0.85387,0.81700,0.62661,0.74887,0.87300,0.76100,0.81700,0.78507,0.87300,0.82670,0.81700
461_train,0.92651,0.90700,0.81024,0.85948,0.93800,0.87600,0.90700,0.88324,0.93800,0.90980,0.90700
,,,,,,,,,,,
1729_test,0.85359,0.76600,0.52255,0.68889,0.89900,0.63300,0.76600,0.71011,0.89900,0.79347,0.76600
1729_train,0.94765,0.92250,0.84187,0.87638,0.96300,0.88200,0.92250,0.89084,0.96300,0.92552,0.92250
,,,,,,,,,,,
505_test,0.85309,0.65250,0.29096,0.59070,0.95700,0.34800,0.65250,0.59478,0.95700,0.73361,0.65250
505_train,0.88833,0.69300,0.37360,0.61969,0.99600,0.39000,0.69300,0.62017,0.99600,0.76439,0.69300
,,,,,,,,,,,
61_test,0.85302,0.85500,0.70414,0.80429,0.85200,0.85800,0.85500,0.85714,0.85200,0.85456,0.85500
61_train,0.98559,0.98650,0.97245,0.98064,0.98500,0.98800,0.98650,0.98796,0.98500,0.98648,0.98650
,,,,,,,,,,,
133_test,0.85286,0.84100,0.67558,0.78274,0.85900,0.82300,0.84100,0.82915,0.85900,0.84381,0.84100
133_train,0.86603,0.85100,0.69598,0.79328,0.87400,0.82800,0.85100,0.83556,0.87400,0.85435,0.85100
,,,,,,,,,,,
1695_test,0.85273,0.85800,0.71026,0.80925,0.85000,0.86600,0.85800,0.86382,0.85000,0.85685,0.85800
1695_train,0.92458,0.93750,0.87248,0.91834,0.91700,0.95800,0.93750,0.95620,0.91700,0.93619,0.93750
,,,,,,,,,,,
75_test,0.85219,0.57800,0.13895,0.54232,0.99400,0.16200,0.57800,0.54258,0.99400,0.70198,0.57800
75_train,0.87063,0.62850,0.24199,0.57372,1.00000,0.25700,0.62850,0.57372,1.00000,0.72913,0.62850
,,,,,,,,,,,
837_test,0.85141,0.67600,0.33891,0.60822,0.94200,0.41000,0.67600,0.61488,0.94200,0.74408,0.67600
837_train,0.91557,0.81100,0.61436,0.72822,0.97600,0.64600,0.81100,0.73383,0.97600,0.83777,0.81100
,,,,,,,,,,,
1509_test,0.85019,0.85250,0.69904,0.80138,0.84900,0.85600,0.85250,0.85498,0.84900,0.85198,0.85250
1509_train,0.95147,0.95550,0.90920,0.93796,0.94900,0.96200,0.95550,0.96150,0.94900,0.95521,0.95550
,,,,,,,,,,,
847_test,0.84970,0.85300,0.70006,0.80237,0.84800,0.85800,0.85300,0.85657,0.84800,0.85226,0.85300
847_train,0.96597,0.96750,0.93369,0.95340,0.96500,0.97000,0.96750,0.96985,0.96500,0.96742,0.96750
,,,,,,,,,,,
