model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_847,0.84970,0.85300,0.70006,0.80237,0.84800,0.85800,0.9729196533456549,0.85300,0.85657,0.84800,0.85226,0.85300
model_1687,0.84965,0.86450,0.72353,0.82137,0.84200,0.88700,0.9683404597893076,0.86450,0.88168,0.84200,0.86138,0.86450
model_1179,0.84965,0.86450,0.72353,0.82137,0.84200,0.88700,0.8497935880826214,0.86450,0.88168,0.84200,0.86138,0.86450
model_139,0.84919,0.83400,0.66129,0.77365,0.85700,0.81100,0.854663293189313,0.83400,0.81931,0.85700,0.83773,0.83400
model_785,0.84909,0.85900,0.71230,0.81237,0.84400,0.87400,0.9679123091810822,0.85900,0.87010,0.84400,0.85685,0.85900
model_147,0.84907,0.78700,0.56539,0.71283,0.88100,0.69300,nan,0.78700,0.74158,0.88100,0.80530,0.78700
model_851,0.84881,0.84650,0.68680,0.79248,0.85000,0.84300,0.962529689540909,0.84650,0.84409,0.85000,0.84704,0.84650
model_1667,0.84805,0.83450,0.66231,0.77473,0.85500,0.81400,0.8334296253465471,0.83450,0.82133,0.85500,0.83782,0.83450
model_1727,0.84765,0.86450,0.72353,0.82225,0.83900,0.89000,nan,0.86450,0.88409,0.83900,0.86095,0.86450
model_973,0.84647,0.71650,0.42155,0.64190,0.91300,0.52000,0.8294211835928367,0.71650,0.65542,0.91300,0.76306,0.71650
model_1741,0.84600,0.84600,0.68578,0.79272,0.84600,0.84600,0.9723021181784837,0.84600,0.84600,0.84600,0.84600,0.84600
model_1563,0.84598,0.84400,0.68170,0.78963,0.84700,0.84100,0.9685079692542344,0.84400,0.84195,0.84700,0.84447,0.84400
model_1357,0.84521,0.80450,0.60110,0.73481,0.86600,0.74300,0.8905874572677781,0.80450,0.77115,0.86600,0.81583,0.80450
model_1689,0.84510,0.85900,0.71230,0.81403,0.83800,0.88000,0.9664014307531577,0.85900,0.87474,0.83800,0.85598,0.85900
model_159,0.84503,0.82550,0.64395,0.76280,0.85500,0.79600,0.837572254143752,0.82550,0.80737,0.85500,0.83050,0.82550
model_971,0.84483,0.84450,0.68272,0.79081,0.84500,0.84400,0.9719784647951535,0.84450,0.84416,0.84500,0.84458,0.84450
