model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
1214_train,0.96303,0.95350,0.90512,0.92623,0.96900,0.93800,0.95350,0.93986,0.96900,0.95421,0.95350
,,,,,,,,,,,
740_test,0.81753,0.81450,0.62151,0.75528,0.81900,0.81000,0.81450,0.81169,0.81900,0.81533,0.81450
740_train,0.80519,0.81400,0.62049,0.75823,0.80100,0.82700,0.81400,0.82238,0.80100,0.81155,0.81400
,,,,,,,,,,,
154_test,0.81691,0.84350,0.68068,0.79986,0.80400,0.88300,0.84350,0.87296,0.80400,0.83706,0.84350
154_train,0.79645,0.82950,0.65211,0.78498,0.78100,0.87800,0.82950,0.86489,0.78100,0.82081,0.82950
,,,,,,,,,,,
1730_test,0.81660,0.77250,0.53581,0.70191,0.83800,0.70700,0.77250,0.74094,0.83800,0.78649,0.77250
1730_train,0.97817,0.96600,0.93063,0.94180,0.98600,0.94600,0.96600,0.94808,0.98600,0.96667,0.96600
,,,,,,,,,,,
490_test,0.81649,0.83400,0.66129,0.78468,0.80800,0.86000,0.83400,0.85232,0.80800,0.82957,0.83400
490_train,0.94994,0.95800,0.91430,0.94436,0.94500,0.97100,0.95800,0.97023,0.94500,0.95745,0.95800
,,,,,,,,,,,
1202_test,0.81592,0.82400,0.64089,0.76956,0.81200,0.83600,0.82400,0.83197,0.81200,0.82186,0.82400
1202_train,0.94706,0.95700,0.91226,0.94425,0.94100,0.97300,0.95700,0.97211,0.94100,0.95630,0.95700
,,,,,,,,,,,
174_test,0.81557,0.85600,0.70618,0.82202,0.79600,0.91600,0.85600,0.90455,0.79600,0.84681,0.85600
174_train,0.82476,0.87100,0.73679,0.84518,0.80200,0.94000,0.87100,0.93039,0.80200,0.86144,0.87100
,,,,,,,,,,,
528_test,0.81517,0.79900,0.58988,0.73481,0.82300,0.77500,0.79900,0.78531,0.82300,0.80371,0.79900
528_train,0.98669,0.97700,0.95307,0.95897,0.99300,0.96100,0.97700,0.96221,0.99300,0.97736,0.97700
,,,,,,,,,,,
616_test,0.81439,0.52750,0.03591,0.51416,0.95300,0.10200,0.52750,0.51486,0.95300,0.66854,0.52750
616_train,0.84594,0.57600,0.13487,0.54118,0.98400,0.16800,0.57600,0.54185,0.98400,0.69886,0.57600
,,,,,,,,,,,
718_test,0.81434,0.48800,-0.04468,0.49407,0.97200,0.00400,0.48800,0.49390,0.97200,0.65499,0.48800
718_train,0.82018,0.49900,-0.02224,0.49950,0.97700,0.02100,0.49900,0.49949,0.97700,0.66103,0.49900
,,,,,,,,,,,
1446_test,0.81360,0.81900,0.63069,0.76292,0.81100,0.82700,0.81900,0.82419,0.81100,0.81754,0.81900
1446_train,0.93869,0.94650,0.89084,0.92772,0.93400,0.95900,0.94650,0.95795,0.93400,0.94582,0.94650
,,,,,,,,,,,
370_test,0.81342,0.82050,0.63375,0.76517,0.81000,0.83100,0.82050,0.82737,0.81000,0.81860,0.82050
370_train,0.94605,0.95600,0.91022,0.94281,0.94000,0.97200,0.95600,0.97107,0.94000,0.95528,0.95600
,,,,,,,,,,,
424_test,0.81333,0.81400,0.62049,0.75579,0.81300,0.81500,0.81400,0.81463,0.81300,0.81381,0.81400
424_train,0.97217,0.97400,0.94695,0.96303,0.97100,0.97700,0.97400,0.97686,0.97100,0.97392,0.97400
,,,,,,,,,,,
1344_test,0.81292,0.79200,0.57560,0.72629,0.82300,0.76100,0.79200,0.77495,0.82300,0.79825,0.79200
1344_train,0.98635,0.97000,0.93879,0.94458,0.99700,0.94300,0.97000,0.94592,0.99700,0.97079,0.97000
,,,,,,,,,,,
1260_test,0.81284,0.77100,0.53275,0.70084,0.83300,0.70900,0.77100,0.74110,0.83300,0.78437,0.77100
1260_train,0.84175,0.82550,0.64395,0.76375,0.85000,0.80100,0.82550,0.81030,0.85000,0.82967,0.82550
,,,,,,,,,,,
1072_test,0.81284,0.77100,0.53275,0.70084,0.83300,0.70900,0.77100,0.74110,0.83300,0.78437,0.77100
1072_train,0.73164,0.70900,0.40624,0.64555,0.74100,0.67700,0.70900,0.69643,0.74100,0.71802,0.70900
,,,,,,,,,,,
570_test,0.81255,0.79500,0.58172,0.73022,0.82100,0.76900,0.79500,0.78042,0.82100,0.80019,0.79500
570_train,0.89217,0.90150,0.79902,0.86677,0.88700,0.91600,0.90150,0.91349,0.88700,0.90005,0.90150
,,,,,,,,,,,
544_test,0.81241,0.81950,0.63171,0.76402,0.80900,0.83000,0.81950,0.82635,0.80900,0.81758,0.81950
544_train,0.96897,0.97050,0.93981,0.95773,0.96800,0.97300,0.97050,0.97286,0.96800,0.97043,0.97050
,,,,,,,,,,,
1478_test,0.81231,0.80050,0.59294,0.73750,0.81800,0.78300,0.80050,0.79034,0.81800,0.80393,0.80050
1478_train,0.98627,0.97900,0.95715,0.96356,0.99100,0.96700,0.97900,0.96777,0.99100,0.97925,0.97900
,,,,,,,,,,,
368_test,0.81231,0.82750,0.64803,0.77606,0.80500,0.85000,0.82750,0.84293,0.80500,0.82353,0.82750
368_train,0.95544,0.96100,0.92042,0.94692,0.95200,0.97000,0.96100,0.96945,0.95200,0.96065,0.96100
,,,,,,,,,,,
1206_test,0.81225,0.81900,0.63069,0.76334,0.80900,0.82900,0.81900,0.82551,0.80900,0.81717,0.81900
1206_train,0.94266,0.95200,0.90206,0.93662,0.93700,0.96700,0.95200,0.96598,0.93700,0.95127,0.95200
,,,,,,,,,,,
890_test,0.81217,0.54650,0.07468,0.52446,0.94000,0.15300,0.54650,0.52602,0.94000,0.67456,0.54650
890_train,0.85737,0.60900,0.20220,0.56127,0.98700,0.23100,0.60900,0.56207,0.98700,0.71626,0.60900
,,,,,,,,,,,
316_test,0.81175,0.80500,0.60212,0.74370,0.81500,0.79500,0.80500,0.79902,0.81500,0.80693,0.80500
316_train,0.96281,0.96250,0.92349,0.94494,0.96300,0.96200,0.96250,0.96204,0.96300,0.96252,0.96250
,,,,,,,,,,,
982_test,0.81162,0.75050,0.49092,0.67838,0.84100,0.66000,0.75050,0.71211,0.84100,0.77121,0.75050
982_train,0.95817,0.91500,0.82657,0.85857,0.98500,0.84500,0.91500,0.86404,0.98500,0.92056,0.91500
,,,,,,,,,,,
464_test,0.81159,0.80450,0.60110,0.74306,0.81500,0.79400,0.80450,0.79824,0.81500,0.80653,0.80450
464_train,0.96664,0.97400,0.94695,0.96720,0.96200,0.98600,0.97400,0.98566,0.96200,0.97368,0.97400
,,,,,,,,,,,
898_test,0.81142,0.85600,0.70618,0.82401,0.79000,0.92200,0.85600,0.91014,0.79000,0.84582,0.85600
898_train,0.80619,0.85700,0.70822,0.82844,0.78200,0.93200,0.85700,0.92000,0.78200,0.84541,0.85700
,,,,,,,,,,,
684_test,0.81084,0.73550,0.46031,0.66310,0.84700,0.62400,0.73550,0.69256,0.84700,0.76203,0.73550
684_train,0.94108,0.89650,0.78882,0.83579,0.96800,0.82500,0.89650,0.84689,0.96800,0.90341,0.89650
,,,,,,,,,,,
1518_test,0.81074,0.64350,0.27260,0.58552,0.89100,0.39600,0.64350,0.59599,0.89100,0.71423,0.64350
1518_train,0.91814,0.79950,0.59090,0.71499,0.98700,0.61200,0.79950,0.71782,0.98700,0.83116,0.79950
,,,,,,,,,,,
550_test,0.81051,0.82200,0.63681,0.76833,0.80500,0.83900,0.82200,0.83333,0.80500,0.81892,0.82200
550_train,0.94736,0.95450,0.90716,0.93868,0.94300,0.96600,0.95450,0.96520,0.94300,0.95397,0.95450
,,,,,,,,,,,
86_test,0.81043,0.48400,-0.05285,0.49213,0.96700,0.00100,0.48400,0.49186,0.96700,0.65206,0.48400
86_train,0.81687,0.48900,-0.04264,0.49456,0.97600,0.00200,0.48900,0.49443,0.97600,0.65636,0.48900
,,,,,,,,,,,
1222_test,0.81033,0.77350,0.53785,0.70420,0.82800,0.71900,0.77350,0.74662,0.82800,0.78521,0.77350
1222_train,0.98491,0.97400,0.94695,0.95387,0.99200,0.95600,0.97400,0.95753,0.99200,0.97446,0.97400
,,,,,,,,,,,
1218_test,0.81022,0.80650,0.60518,0.74617,0.81200,0.80100,0.80650,0.80317,0.81200,0.80756,0.80650
1218_train,0.95007,0.96650,0.93165,0.96305,0.94000,0.99300,0.96650,0.99261,0.94000,0.96559,0.96650
,,,,,,,,,,,
302_test,0.81016,0.82300,0.63885,0.76995,0.80400,0.84200,0.82300,0.83576,0.80400,0.81957,0.82300
302_train,0.94730,0.95600,0.91022,0.94193,0.94200,0.97000,0.95600,0.96914,0.94200,0.95538,0.95600
,,,,,,,,,,,
338_test,0.81001,0.78500,0.56131,0.71813,0.82200,0.74800,0.78500,0.76536,0.82200,0.79267,0.78500
338_train,0.96493,0.96800,0.93471,0.95524,0.96300,0.97300,0.96800,0.97273,0.96300,0.96784,0.96800
,,,,,,,,,,,
430_test,0.80999,0.82250,0.63783,0.76925,0.80400,0.84100,0.82250,0.83489,0.80400,0.81915,0.82250
430_train,0.94472,0.95250,0.90308,0.93626,0.94000,0.96500,0.95250,0.96410,0.94000,0.95190,0.95250
,,,,,,,,,,,
482_test,0.80994,0.82650,0.64599,0.77534,0.80200,0.85100,0.82650,0.84332,0.80200,0.82214,0.82650
482_train,0.94907,0.95900,0.91634,0.94715,0.94300,0.97500,0.95900,0.97417,0.94300,0.95833,0.95900
,,,,,,,,,,,
1382_test,0.80948,0.82300,0.63885,0.77018,0.80300,0.84300,0.82300,0.83646,0.80300,0.81939,0.82300
