model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_1471,0.82510,0.70350,0.39502,0.63213,0.88500,0.52200,nan,0.70350,0.64930,0.88500,0.74905,0.70350
model_1343,0.82505,0.74800,0.48582,0.67400,0.86300,0.63300,0.8932619391829817,0.74800,0.70163,0.86300,0.77399,0.74800
model_41,0.82487,0.78400,0.55927,0.71389,0.84500,0.72300,0.8545026870044935,0.78400,0.75312,0.84500,0.79642,0.78400
model_1481,0.82425,0.71700,0.42257,0.64417,0.87700,0.55700,0.9175042490649029,0.71700,0.66439,0.87700,0.75603,0.71700
model_397,0.82368,0.79250,0.57662,0.72453,0.83900,0.74600,0.8821986093791812,0.79250,0.76761,0.83900,0.80172,0.79250
model_313,0.82346,0.77350,0.53785,0.70185,0.84800,0.69900,0.8748770689345756,0.77350,0.73803,0.84800,0.78920,0.77350
model_423,0.82342,0.83650,0.66639,0.78608,0.81700,0.85600,0.9686418857226315,0.83650,0.85016,0.81700,0.83325,0.83650
model_267,0.82339,0.81400,0.62049,0.75291,0.82800,0.80000,0.8172527485423617,0.81400,0.80545,0.82800,0.81657,0.81400
model_1001,0.82278,0.51250,0.00531,0.50633,0.97500,0.05000,0.8480430332299704,0.51250,0.50649,0.97500,0.66667,0.51250
model_487,0.82171,0.83950,0.67252,0.79146,0.81300,0.86600,0.9687561331070266,0.83950,0.85850,0.81300,0.83513,0.83950
model_521,0.82079,0.78150,0.55417,0.71169,0.84000,0.72300,0.8839144391878959,0.78150,0.75201,0.84000,0.79358,0.78150
model_1397,0.81987,0.79500,0.58172,0.72853,0.83200,0.75800,0.8793090716533855,0.79500,0.77467,0.83200,0.80231,0.79500
model_381,0.81892,0.76950,0.52969,0.69807,0.84300,0.69600,0.8800817757404497,0.76950,0.73496,0.84300,0.78528,0.76950
model_303,0.81796,0.84050,0.67456,0.79452,0.80700,0.87400,0.9722060252797795,0.84050,0.86495,0.80700,0.83497,0.84050
model_583,0.81757,0.79200,0.57560,0.72524,0.83000,0.75400,0.9036058716773987,0.79200,0.77138,0.83000,0.79961,0.79200
model_75,0.81737,0.56700,0.11651,0.53607,0.93900,0.19500,0.8561304229450977,0.56700,0.53842,0.93900,0.68440,0.56700
model_511,0.81672,0.67600,0.33891,0.60984,0.88500,0.46700,nan,0.67600,0.62412,0.88500,0.73201,0.67600
model_407,0.81623,0.71150,0.41134,0.63987,0.86700,0.55600,0.9153270824763021,0.71150,0.66133,0.86700,0.75032,0.71150
model_363,0.81614,0.83500,0.66333,0.78638,0.80700,0.86300,0.9695898006784724,0.83500,0.85487,0.80700,0.83025,0.83500
model_489,0.81595,0.83650,0.66639,0.78884,0.80600,0.86700,0.9641665393754089,0.83650,0.85836,0.80600,0.83136,0.83650
model_387,0.81574,0.80900,0.61028,0.74811,0.81900,0.79900,nan,0.80900,0.80294,0.81900,0.81089,0.80900
model_421,0.81573,0.84200,0.67762,0.79786,0.80300,0.88100,0.9677790260003283,0.84200,0.87093,0.80300,0.83559,0.84200
model_485,0.81492,0.83750,0.66844,0.79084,0.80400,0.87100,0.9700721880534079,0.83750,0.86174,0.80400,0.83187,0.83750
model_465,0.81484,0.81450,0.62151,0.75606,0.81500,0.81400,0.8532183855772019,0.81450,0.81419,0.81500,0.81459,0.81450
model_305,0.81480,0.83300,0.65925,0.78372,0.80600,0.86000,0.9683938297001939,0.83300,0.85201,0.80600,0.82837,0.83300
model_427,0.81478,0.83500,0.66333,0.78689,0.80500,0.86500,0.9662241747746101,0.83500,0.85638,0.80500,0.82990,0.83500
model_771,0.81474,0.85350,0.70108,0.81795,0.79600,0.91100,0.8127757091138322,0.85350,0.89944,0.79600,0.84456,0.85350
