model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
1728,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
1690,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
1750,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
64,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
1028,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
1752,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
604,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
284,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
150,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,20
220,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1522,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
844,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
664,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
1086,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1144,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,20
828,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
846,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
1186,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,20
144,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,20
968,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
1572,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
832,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
82,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
102,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
680,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
1088,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1760,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
834,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
966,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
742,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
948,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
1744,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
1136,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1722,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
1782,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
66,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
264,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
912,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
352,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,20
1546,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
72,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
1110,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
80,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
1740,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
944,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
208,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1032,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
1132,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1732,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
572,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,20
1706,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
904,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
1742,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
1036,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
