model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
919,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
731,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
1991,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
67,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
2675,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",swish,10
2463,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",sigmoid,10
1573,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
2541,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",tanh,10
661,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
123,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
1091,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
845,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,10
197,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
43,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,10
2049,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",swish,10
1125,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
2041,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",swish,10
2047,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",swish,10
965,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,10
785,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
2619,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
1863,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",sigmoid,10
2625,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
915,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
825,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
1727,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
2825,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",tanh,10
2045,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",swish,10
2001,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
1139,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
2831,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",tanh,10
665,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
