model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_250,0.90999,0.89950,0.79494,0.85425,0.91600,0.88300,0.9599872534152926,0.89950,0.88674,0.91600,0.90113,0.89950
model_6,0.90990,0.89750,0.79086,0.85083,0.91700,0.87800,0.9569000854865317,0.89750,0.88258,0.91700,0.89946,0.89750
model_612,0.90982,0.90950,0.81534,0.87227,0.91000,0.90900,0.9775244917890832,0.90950,0.90909,0.91000,0.90955,0.90950
model_242,0.90981,0.89550,0.78678,0.84743,0.91800,0.87300,0.9586478105584102,0.89550,0.87847,0.91800,0.89780,0.89550
model_1804,0.90954,0.90000,0.79596,0.85534,0.91500,0.88500,0.9538165241081543,0.90000,0.88835,0.91500,0.90148,0.90000
model_1632,0.90954,0.90700,0.81024,0.86783,0.91100,0.90300,0.972261914719056,0.90700,0.90377,0.91100,0.90737,0.90700
model_822,0.90954,0.90350,0.80310,0.86153,0.91300,0.89400,nan,0.90350,0.89598,0.91300,0.90441,0.90350
model_606,0.90954,0.90700,0.81024,0.86783,0.91100,0.90300,0.9753392131866089,0.90700,0.90377,0.91100,0.90737,0.90700
model_2438,0.90936,0.87150,0.73781,0.80909,0.93100,0.81200,0.8876106502596012,0.87150,0.83199,0.93100,0.87872,0.87150
model_2900,0.90909,0.89700,0.78984,0.85034,0.91600,0.87800,nan,0.89700,0.88247,0.91600,0.89892,0.89700
model_1876,0.90900,0.84600,0.68578,0.77293,0.94500,0.74700,0.8182154496510824,0.84600,0.78881,0.94500,0.85987,0.84600
model_1924,0.90873,0.89950,0.79494,0.85485,0.91400,0.88500,0.9698868652933718,0.89950,0.88824,0.91400,0.90094,0.89950
model_130,0.90873,0.89250,0.78066,0.84283,0.91800,0.86700,0.9727496044024041,0.89250,0.87345,0.91800,0.89517,0.89250
model_198,0.90828,0.89650,0.78882,0.84985,0.91500,0.87800,nan,0.89650,0.88235,0.91500,0.89838,0.89650
model_2916,0.90817,0.78050,0.55213,0.69641,0.98100,0.58000,nan,0.78050,0.70021,0.98100,0.81716,0.78050
model_602,0.90810,0.89950,0.79494,0.85515,0.91300,0.88600,0.9731885708658036,0.89950,0.88900,0.91300,0.90084,0.89950
model_1736,0.90803,0.85550,0.70516,0.78623,0.93800,0.77300,nan,0.85550,0.80515,0.93800,0.86651,0.85550
model_846,0.90800,0.90450,0.80514,0.86409,0.91000,0.89900,0.9708321481874933,0.90450,0.90010,0.91000,0.90502,0.90450
model_2532,0.90791,0.90250,0.80106,0.86055,0.91100,0.89400,0.9665743328639286,0.90250,0.89577,0.91100,0.90332,0.90250
model_1704,0.90791,0.90600,0.80820,0.86685,0.90900,0.90300,nan,0.90600,0.90358,0.90900,0.90628,0.90600
model_904,0.90746,0.89950,0.79494,0.85546,0.91200,0.88700,0.9643480163942361,0.89950,0.88976,0.91200,0.90074,0.89950
model_970,0.90729,0.89200,0.77964,0.84263,0.91600,0.86800,0.9602101383054203,0.89200,0.87405,0.91600,0.89453,0.89200
model_748,0.90727,0.90600,0.80820,0.86718,0.90800,0.90400,0.8674267414881258,0.90600,0.90438,0.90800,0.90619,0.90600
model_658,0.90725,0.84800,0.68986,0.77611,0.94100,0.75500,0.8306561060471109,0.84800,0.79342,0.94100,0.86093,0.84800
model_2052,0.90701,0.90000,0.79596,0.85656,0.91100,0.88900,0.9619413551674586,0.90000,0.89139,0.91100,0.90109,0.90000
model_826,0.90692,0.90150,0.79902,0.85926,0.91000,0.89300,nan,0.90150,0.89479,0.91000,0.90233,0.90150
model_1122,0.90683,0.89950,0.79494,0.85576,0.91100,0.88800,nan,0.89950,0.89052,0.91100,0.90064,0.89950
model_246,0.90683,0.89600,0.78780,0.84966,0.91300,0.87900,0.9643540757623585,0.89600,0.88298,0.91300,0.89774,0.89600
model_1996,0.90681,0.91000,0.81636,0.87480,0.90500,0.91500,nan,0.91000,0.91414,0.90500,0.90955,0.91000
model_2748,0.90663,0.85150,0.69700,0.78108,0.93800,0.76500,0.8691655245427895,0.85150,0.79966,0.93800,0.86332,0.85150
model_62,0.90657,0.89000,0.77556,0.83958,0.91600,0.86400,0.9595711515193979,0.89000,0.87072,0.91600,0.89279,0.89000
model_1932,0.90647,0.89850,0.79290,0.85418,0.91100,0.88600,0.9651592114524756,0.89850,0.88878,0.91100,0.89975,0.89850
model_1126,0.90639,0.89300,0.78168,0.84472,0.91400,0.87200,nan,0.89300,0.87716,0.91400,0.89520,0.89300
model_2924,0.90627,0.90500,0.80616,0.86587,0.90700,0.90300,nan,0.90500,0.90339,0.90700,0.90519,0.90500
model_2932,0.90616,0.86600,0.72659,0.80197,0.92900,0.80300,nan,0.86600,0.82504,0.92900,0.87394,0.86600
model_226,0.90612,0.89050,0.77658,0.84062,0.91500,0.86600,nan,0.89050,0.87226,0.91500,0.89312,0.89050
model_2646,0.90601,0.89900,0.79392,0.85527,0.91000,0.88800,0.9632983114697667,0.89900,0.89041,0.91000,0.90010,0.89900
model_1100,0.90585,0.89150,0.77862,0.84242,0.91400,0.86900,nan,0.89150,0.87464,0.91400,0.89389,0.89150
model_726,0.90574,0.90000,0.79596,0.85717,0.90900,0.89100,0.9731682011865834,0.90000,0.89293,0.90900,0.90089,0.90000
model_728,0.90565,0.89800,0.79188,0.85369,0.91000,0.88600,0.9758892667790254,0.89800,0.88867,0.91000,0.89921,0.89800
model_2032,0.90546,0.90450,0.80514,0.86538,0.90600,0.90300,nan,0.90450,0.90329,0.90600,0.90464,0.90450
model_12,0.90538,0.89900,0.79392,0.85558,0.90900,0.88900,0.9694132644317054,0.89900,0.89118,0.90900,0.90000,0.89900
model_2768,0.90522,0.88800,0.77148,0.83683,0.91500,0.86100,0.9684140056596733,0.88800,0.86812,0.91500,0.89094,0.88800
model_2404,0.90519,0.90200,0.80004,0.86100,0.90700,0.89700,0.9690319704085146,0.90200,0.89802,0.90700,0.90249,0.90200
model_844,0.90509,0.90350,0.80310,0.86375,0.90600,0.90100,0.9726025215883937,0.90350,0.90149,0.90600,0.90374,0.90350
model_2638,0.90508,0.87350,0.74189,0.81369,0.92300,0.82400,nan,0.87350,0.83985,0.92300,0.87947,0.87350
model_158,0.90501,0.90150,0.79902,0.86020,0.90700,0.89600,0.8671780251474543,0.90150,0.89713,0.90700,0.90204,0.90150
model_2596,0.90465,0.90050,0.79698,0.85859,0.90700,0.89400,nan,0.90050,0.89536,0.90700,0.90114,0.90050
model_1696,0.90455,0.90200,0.80004,0.86132,0.90600,0.89800,nan,0.90200,0.89881,0.90600,0.90239,0.90200
model_1734,0.90449,0.82950,0.65211,0.75266,0.94700,0.71200,nan,0.82950,0.76680,0.94700,0.84743,0.82950
model_2472,0.90430,0.89600,0.78780,0.85084,0.90900,0.88300,0.9674682260997463,0.89600,0.88596,0.90900,0.89733,0.89600
model_186,0.90427,0.90650,0.80922,0.86966,0.90300,0.91000,nan,0.90650,0.90937,0.90300,0.90617,0.90650
model_1160,0.90419,0.87100,0.73679,0.81017,0.92300,0.81900,0.8343455179985323,0.87100,0.83605,0.92300,0.87738,0.87100
model_2968,0.90387,0.85950,0.71332,0.79322,0.92900,0.79000,0.8534883062859051,0.85950,0.81563,0.92900,0.86863,0.85950
model_128,0.90379,0.88400,0.76331,0.83085,0.91500,0.85300,0.9679320368301186,0.88400,0.86158,0.91500,0.88749,0.88400
model_2894,0.90377,0.89100,0.77760,0.84250,0.91100,0.87100,nan,0.89100,0.87596,0.91100,0.89314,0.89100
model_2026,0.90375,0.89800,0.79188,0.85460,0.90700,0.88900,nan,0.89800,0.89096,0.90700,0.89891,0.89800
model_2620,0.90373,0.90150,0.79902,0.86083,0.90500,0.89800,nan,0.90150,0.89871,0.90500,0.90184,0.90150
model_786,0.90336,0.90400,0.80412,0.86554,0.90300,0.90500,0.8023534563251008,0.90400,0.90481,0.90300,0.90390,0.90400
model_1884,0.90325,0.85950,0.71332,0.79342,0.92800,0.79100,0.8166039160319737,0.85950,0.81618,0.92800,0.86851,0.85950
model_2652,0.90301,0.89950,0.79494,0.85761,0.90500,0.89400,0.968620287195984,0.89950,0.89515,0.90500,0.90005,0.89950
model_824,0.90292,0.90100,0.79800,0.86034,0.90400,0.89800,nan,0.90100,0.89861,0.90400,0.90130,0.90100
model_2918,0.90276,0.89350,0.78270,0.84723,0.90800,0.87900,nan,0.89350,0.88241,0.90800,0.89502,0.89350
model_1506,0.90257,0.89650,0.78882,0.85253,0.90600,0.88700,0.9707895880857391,0.89650,0.88911,0.90600,0.89747,0.89650
model_2584,0.90256,0.90000,0.79596,0.85873,0.90400,0.89600,0.8013331543482267,0.90000,0.89683,0.90400,0.90040,0.90000
model_2872,0.90229,0.89750,0.79086,0.85442,0.90500,0.89000,0.8594611669486424,0.89750,0.89163,0.90500,0.89826,0.89750
model_1152,0.90229,0.89750,0.79086,0.85442,0.90500,0.89000,0.965909918892681,0.89750,0.89163,0.90500,0.89826,0.89750
model_1700,0.90228,0.90100,0.79800,0.86066,0.90300,0.89900,nan,0.90100,0.89940,0.90300,0.90120,0.90100
model_1806,0.90224,0.88850,0.77250,0.83896,0.91000,0.86700,0.9528740688657705,0.88850,0.87248,0.91000,0.89085,0.88850
model_2644,0.90174,0.89950,0.79494,0.85824,0.90300,0.89600,0.9697721060896409,0.89950,0.89672,0.90300,0.89985,0.89950
model_966,0.90172,0.88350,0.76229,0.83089,0.91200,0.85500,0.9631533190355462,0.88350,0.86282,0.91200,0.88673,0.88350
model_670,0.90170,0.88700,0.76943,0.83668,0.91000,0.86400,0.9696307756454748,0.88700,0.86998,0.91000,0.88954,0.88700
model_2920,0.90169,0.91000,0.81636,0.87759,0.89700,0.92300,nan,0.91000,0.92094,0.89700,0.90881,0.91000
model_1548,0.90165,0.78050,0.55213,0.69731,0.97000,0.59100,0.9308374636736347,0.78050,0.70341,0.97000,0.81547,0.78050
model_188,0.90164,0.90100,0.79800,0.86098,0.90200,0.90000,nan,0.90100,0.90020,0.90200,0.90110,0.90100
model_2604,0.90164,0.90100,0.79800,0.86098,0.90200,0.90000,nan,0.90100,0.90020,0.90200,0.90110,0.90100
model_122,0.90162,0.88500,0.76535,0.83340,0.91100,0.85900,0.9670690804456188,0.88500,0.86597,0.91100,0.88791,0.88500
model_1150,0.90161,0.88850,0.77250,0.83924,0.90900,0.86800,0.9592019601549421,0.88850,0.87320,0.90900,0.89074,0.88850
model_194,0.90157,0.89550,0.78678,0.85125,0.90500,0.88600,nan,0.89550,0.88813,0.90500,0.89648,0.89550
model_1082,0.90146,0.90050,0.79698,0.86017,0.90200,0.89900,nan,0.90050,0.89930,0.90200,0.90065,0.90050
model_968,0.90143,0.88800,0.77148,0.83848,0.90900,0.86700,0.9628467179851363,0.88800,0.87236,0.90900,0.89030,0.88800
model_962,0.90135,0.88600,0.76739,0.83517,0.91000,0.86200,0.9628150127247341,0.88600,0.86832,0.91000,0.88867,0.88600
model_1870,0.90133,0.88950,0.77454,0.84105,0.90800,0.87100,0.9563401744297121,0.88950,0.87560,0.90800,0.89151,0.88950
model_806,0.90125,0.88750,0.77046,0.83772,0.90900,0.86600,nan,0.88750,0.87152,0.90900,0.88987,0.88750
model_1998,0.90125,0.88750,0.77046,0.83772,0.90900,0.86600,nan,0.88750,0.87152,0.90900,0.88987,0.88750
model_2706,0.90107,0.88700,0.76943,0.83696,0.90900,0.86500,0.9646508726023011,0.88700,0.87069,0.90900,0.88943,0.88700
model_2078,0.90105,0.85500,0.70414,0.78766,0.92700,0.78300,0.8308602976142814,0.85500,0.81031,0.92700,0.86474,0.85500
model_8,0.90097,0.88850,0.77250,0.83952,0.90800,0.86900,0.957037574676979,0.88850,0.87392,0.90800,0.89063,0.88850
model_902,0.90097,0.88850,0.77250,0.83952,0.90800,0.86900,0.9564159001028815,0.88850,0.87392,0.90800,0.89063,0.88850
model_668,0.90086,0.89350,0.78270,0.84811,0.90500,0.88200,0.9665755443234261,0.89350,0.88465,0.90500,0.89471,0.89350
model_1802,0.90068,0.89300,0.78168,0.84733,0.90500,0.88100,0.9518723530984292,0.89300,0.88379,0.90500,0.89427,0.89300
model_2770,0.90063,0.88400,0.76331,0.83217,0.91000,0.85800,0.9662462251526969,0.88400,0.86502,0.91000,0.88694,0.88400
model_1724,0.90056,0.89800,0.79188,0.85615,0.90200,0.89400,nan,0.89800,0.89484,0.90200,0.89841,0.89800
model_1926,0.90046,0.88350,0.76229,0.83142,0.91000,0.85700,0.9667103373087369,0.88350,0.86420,0.91000,0.88651,0.88350
model_1624,0.90032,0.89200,0.77964,0.84577,0.90500,0.87900,0.970197240292038,0.89200,0.88207,0.90500,0.89339,0.89200
model_2898,0.90026,0.88650,0.76841,0.83647,0.90800,0.86500,nan,0.88650,0.87057,0.90800,0.88889,0.88650
model_666,0.90024,0.89000,0.77556,0.84238,0.90600,0.87400,0.9683368215163984,0.89000,0.87791,0.90600,0.89173,0.89000
model_2926,0.90022,0.89350,0.78270,0.84841,0.90400,0.88300,nan,0.89350,0.88541,0.90400,0.89461,0.89350
model_2766,0.90020,0.88100,0.75719,0.82744,0.91100,0.85100,0.9652575262265862,0.88100,0.85943,0.91100,0.88447,0.88100
model_1698,0.90020,0.89700,0.78984,0.85455,0.90200,0.89200,nan,0.89700,0.89307,0.90200,0.89751,0.89700
model_2048,0.89996,0.89100,0.77760,0.84422,0.90500,0.87700,0.9594482612286218,0.89100,0.88035,0.90500,0.89250,0.89100
model_2888,0.89974,0.89750,0.79086,0.85566,0.90100,0.89400,nan,0.89750,0.89474,0.90100,0.89786,0.89750
model_788,0.89972,0.90100,0.79800,0.86195,0.89900,0.90300,0.8005947098135948,0.90100,0.90261,0.89900,0.90080,0.90100
model_842,0.89968,0.89200,0.77964,0.84606,0.90400,0.88000,0.9732596497285312,0.89200,0.88281,0.90400,0.89328,0.89200
model_22,0.89960,0.82950,0.65211,0.75382,0.93900,0.72000,0.8449332188157475,0.82950,0.77030,0.93900,0.84633,0.82950
