,0
PHRTYEAR,398
PHRTWHAT,398
PCVA,11
PCVADIAG,472
PTIA,20
PLOC,12
PLOCHRS,494
PLOCMINS,494
PLOCAGE,488
PTOLDDM,11
PDMTRT,344
PCOAD,11
PCOAD1,483
PCANCE,11
PCANCEKI,498
SPECIFYK,497
PCHRODISE,30
PCHRSPECK,410
CHOLESTEROL,30
CHRDS_CAT,410
PPASTHX,11
PONSDEP,482
PNREPISODE,483
PDOCRX,482
PADMIT,482
PFHDEM,11
PFATHER,492
PFATHAGE,501
PMOTHER,492
PMOTHAGE,497
PSIB1,492
PSIBAGE1,497
PSIB2,497
PSIBAGE2,501
PSIB3,501
PSIBAGE3,502
PSIB4,502
PSIBAGE4,502
PARTH,79
PEYE,11
PEAR,11
PCOUGH,12
PRESP,11
PGUT,11
PFAINT,11
PLIMB,11
PSKIN,11
PPAIN1,11
PPAIN2,374
pain_with_intensity,11
PPAIN3,374
PDASALL1,56
PDAS1,11
PDAS2,11
PDAS3,12
PDAS4,12
PDAS5,11
PDAS6,11
PDAS7,11
PDAS8,11
PDAS9,11
PDAS10,11
PDAS11,11
PDAS12,11
PDASALL2,11
PDASALL3,12
PDASALL4,14
PDASALL5,13
PSEXRE,14
PCHINO,230
PCHIAGE,240
PMENPAUS,227
PHRT,225
PDURHRT,498
PNAMEHRT,499
PROUTEHRT,497
PHYST,226
PAGEHYST,494
POOPHO,225
PAGEOOPHO,501
PSMOKE,11
PSMOK1,341
PSMOK2,498
PSMOK3,502
PSMOK4,480
PSTART,341
PSMKNOW,339
PSTOP,451
PCIGDOSE,338
PARGSTAR,473
PARGNOW,473
PARGSTO,494
PARGQUAN,476
PCIGSEC,19
NUMPCIGSEC,323
PCIGSECTIM,297
PALCPAST,15
PALCNOW,431
PHEAVY,459
PALCTRT,501
PBEEFFRQ,11
PPOULFRQ,11
PPORKFRQ,11
PLAMBFRQ,11
PFISHFRQ,11
PFOILFRQ,18
PVEGS,11
PFRUIT,11
PVEGSFUP,11
PNUTSFRQ,11
PDAIRFRQ,11
PFOODSAF,12
PACTIVE,12
PWALKANY,85
PWALKOFT,296
PWALKFRQ,291
PTYPEEX,86
OTHERTYPEEX,495
PFRQEX,455
PPASTEX,93
PMIDLIFEX,86
OTHERPMILDLIFEX,479
PMIDLIFEXFRQ,402
PGAME,11
PMIDAGEGAME,12
PTYPEHOBBY,11
PTYPEHOBSPEC,411
PFRQHOBBY,407
PMIDTYPEHOB,12
PMIDTYPEHOBSPEC,373
PMIDFRQHOB,365
PTELEFRQ,11
PHOURTELE,38
PMIDTELEFRQ,11
PHOURTEL1,39
PPEST,12
PPESTU,490
PPESTSAF,491
PTESTSAFSPEC,498
PPESTYEAR,492
PPC,11
PPCCARE,490
PPCTRMIN,490
PPCTRCST,490
PPCMINS,490
PPCCOST,490
PPCVIS,490
PHOSP,11
PHPCARE,488
PHPTRMIN,488
PHPTRCST,488
PHPMINS,488
PHPCOST,488
PHPVIS,488
POTH,11
POTCARE,499
POTTRMIN,499
POTTRCST,499
POTMINS,499
POTCOST,499
POTVIS,499
PPD,11
PPDCARE,390
PPDTRMIN,388
PPDTRCST,392
PPDMINS,388
PPDCOST,388
PPDVIS,388
PDENT,11
PDENCARE,491
PDENTRMI,490
PDENTRCT,490
PDENMINS,490
PDENCOST,490
PDENVIS,490
PHOSAD,11
PHOSDAY,468
PHOSCOST,468
PMEDS,11
PMEDCOST,148
PINSURA,11
PINSKIND,492
PINSKIN1,362
PINSKIN2,485
PINSKIN3,481
PINSKIN4,499
PINSKIN5,496
PINSKIN6,475
PINSKIN7,501
PINSCOVE,293
