model,miter,mbs,mlr,ulr,dh,afn,nu,encoding,num_vertex,num_filters,emb_loss_weight,weights,sampling_strategy
model_22,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,16,0.1,"1, 1",minority
model_104,1000,16,0.1,0.1,"128, 64",relu,4,target,6,32,0.1,"1, 1",not minority
model_2,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,16,0.1,"1, 1",minority
model_66,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,16,0.1,"1, 1",minority
model_58,1000,16,0.1,0.1,"128, 64",relu,4,james,8,16,0.1,"1, 1",minority
model_116,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,32,0.1,"1, 1",not minority
model_24,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,32,0.1,"1, 1",minority
model_72,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,32,0.1,"1, 1",minority
model_64,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,32,0.1,"1, 1",minority
model_68,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,32,0.1,"1, 1",minority
model_108,1000,16,0.1,0.1,"128, 64",relu,4,target,8,32,0.1,"1, 1",not minority
model_50,1000,16,0.1,0.1,"128, 64",relu,4,james,4,16,0.1,"1, 1",minority
model_120,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,32,0.1,"1, 1",not minority
model_98,1000,16,0.1,0.1,"128, 64",relu,4,target,4,16,0.1,"1, 1",not minority
model_106,1000,16,0.1,0.1,"128, 64",relu,4,target,8,16,0.1,"1, 1",not minority
model_6,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,16,0.1,"1, 1",minority
model_54,1000,16,0.1,0.1,"128, 64",relu,4,james,6,16,0.1,"1, 1",minority
model_10,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,16,0.1,"1, 1",minority
model_18,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,16,0.1,"1, 1",minority
model_20,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,32,0.1,"1, 1",minority
model_52,1000,16,0.1,0.1,"128, 64",relu,4,james,4,32,0.1,"1, 1",minority
model_70,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,16,0.1,"1, 1",minority
model_100,1000,16,0.1,0.1,"128, 64",relu,4,target,4,32,0.1,"1, 1",not minority
model_16,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,32,0.1,"1, 1",minority
model_4,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,32,0.1,"1, 1",minority
model_62,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,16,0.1,"1, 1",minority
model_8,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,32,0.1,"1, 1",minority
model_60,1000,16,0.1,0.1,"128, 64",relu,4,james,8,32,0.1,"1, 1",minority
model_114,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,16,0.1,"1, 1",not minority
model_12,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,32,0.1,"1, 1",minority
model_102,1000,16,0.1,0.1,"128, 64",relu,4,target,6,16,0.1,"1, 1",not minority
model_14,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,16,0.1,"1, 1",minority
model_110,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,16,0.1,"1, 1",not minority
model_118,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,16,0.1,"1, 1",not minority
model_31,1000,16,0.1,0.1,"128, 64",relu,4,target,6,32,0.01,"1, 1",minority
model_43,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,32,0.01,"1, 1",minority
model_35,1000,16,0.1,0.1,"128, 64",relu,4,target,8,32,0.01,"1, 1",minority
model_39,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,32,0.01,"1, 1",minority
model_29,1000,16,0.1,0.1,"128, 64",relu,4,target,6,16,0.01,"1, 1",minority
model_37,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,16,0.01,"1, 1",minority
model_45,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,16,0.01,"1, 1",minority
model_27,1000,16,0.1,0.1,"128, 64",relu,4,target,4,32,0.01,"1, 1",minority
model_25,1000,16,0.1,0.1,"128, 64",relu,4,target,4,16,0.01,"1, 1",minority
model_47,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,32,0.01,"1, 1",minority
model_33,1000,16,0.1,0.1,"128, 64",relu,4,target,8,16,0.01,"1, 1",minority
model_41,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,16,0.01,"1, 1",minority
model_75,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,32,0.01,"1, 1",not minority
model_87,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,32,0.01,"1, 1",not minority
model_81,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,16,0.01,"1, 1",not minority
model_89,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,16,0.01,"1, 1",not minority
model_77,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,16,0.01,"1, 1",not minority
model_73,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,16,0.01,"1, 1",not minority
model_93,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,16,0.01,"1, 1",not minority
model_95,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,32,0.01,"1, 1",not minority
model_85,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,16,0.01,"1, 1",not minority
model_83,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,32,0.01,"1, 1",not minority
model_79,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,32,0.01,"1, 1",not minority
model_91,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,32,0.01,"1, 1",not minority
model_94,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,16,0.1,"1, 1",not minority
model_74,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,16,0.1,"1, 1",not minority
model_88,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,32,0.1,"1, 1",not minority
model_90,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,16,0.1,"1, 1",not minority
model_82,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,16,0.1,"1, 1",not minority
model_92,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,32,0.1,"1, 1",not minority
model_76,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,32,0.1,"1, 1",not minority
model_80,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,32,0.1,"1, 1",not minority
model_78,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,16,0.1,"1, 1",not minority
model_86,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,16,0.1,"1, 1",not minority
model_96,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,32,0.1,"1, 1",not minority
model_84,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,32,0.1,"1, 1",not minority
model_26,1000,16,0.1,0.1,"128, 64",relu,4,target,4,16,0.1,"1, 1",minority
model_38,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,16,0.1,"1, 1",minority
model_42,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,16,0.1,"1, 1",minority
model_32,1000,16,0.1,0.1,"128, 64",relu,4,target,6,32,0.1,"1, 1",minority
model_34,1000,16,0.1,0.1,"128, 64",relu,4,target,8,16,0.1,"1, 1",minority
model_44,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,32,0.1,"1, 1",minority
model_48,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,32,0.1,"1, 1",minority
model_46,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,16,0.1,"1, 1",minority
model_28,1000,16,0.1,0.1,"128, 64",relu,4,target,4,32,0.1,"1, 1",minority
model_40,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,32,0.1,"1, 1",minority
model_36,1000,16,0.1,0.1,"128, 64",relu,4,target,8,32,0.1,"1, 1",minority
model_30,1000,16,0.1,0.1,"128, 64",relu,4,target,6,16,0.1,"1, 1",minority
model_238,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,16,0.1,"1, 1",0.5
model_240,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,32,0.1,"1, 1",0.5
model_228,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,32,0.1,"1, 1",0.5
model_226,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,16,0.1,"1, 1",0.5
model_232,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,32,0.1,"1, 1",0.5
model_236,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,32,0.1,"1, 1",0.5
model_220,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,32,0.1,"1, 1",0.5
model_218,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,16,0.1,"1, 1",0.5
model_230,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,16,0.1,"1, 1",0.5
model_222,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,16,0.1,"1, 1",0.5
model_234,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,16,0.1,"1, 1",0.5
model_224,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,32,0.1,"1, 1",0.5
model_223,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,32,0.01,"1, 1",0.5
model_237,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,16,0.01,"1, 1",0.5
model_217,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,16,0.01,"1, 1",0.5
model_219,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,32,0.01,"1, 1",0.5
model_233,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,16,0.01,"1, 1",0.5
model_239,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,32,0.01,"1, 1",0.5
model_227,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,32,0.01,"1, 1",0.5
model_225,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,16,0.01,"1, 1",0.5
model_235,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,32,0.01,"1, 1",0.5
model_221,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,16,0.01,"1, 1",0.5
model_231,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,32,0.01,"1, 1",0.5
model_229,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,16,0.01,"1, 1",0.5
model_127,1000,16,0.1,0.1,"128, 64",relu,4,james,6,32,0.01,"1, 1",not minority
model_125,1000,16,0.1,0.1,"128, 64",relu,4,james,6,16,0.01,"1, 1",not minority
model_139,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,32,0.01,"1, 1",not minority
model_121,1000,16,0.1,0.1,"128, 64",relu,4,james,4,16,0.01,"1, 1",not minority
model_123,1000,16,0.1,0.1,"128, 64",relu,4,james,4,32,0.01,"1, 1",not minority
model_141,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,16,0.01,"1, 1",not minority
model_135,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,32,0.01,"1, 1",not minority
model_133,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,16,0.01,"1, 1",not minority
model_143,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,32,0.01,"1, 1",not minority
model_129,1000,16,0.1,0.1,"128, 64",relu,4,james,8,16,0.01,"1, 1",not minority
model_137,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,16,0.01,"1, 1",not minority
model_131,1000,16,0.1,0.1,"128, 64",relu,4,james,8,32,0.01,"1, 1",not minority
model_140,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,32,0.1,"1, 1",not minority
model_122,1000,16,0.1,0.1,"128, 64",relu,4,james,4,16,0.1,"1, 1",not minority
model_136,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,32,0.1,"1, 1",not minority
model_128,1000,16,0.1,0.1,"128, 64",relu,4,james,6,32,0.1,"1, 1",not minority
model_144,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,32,0.1,"1, 1",not minority
model_124,1000,16,0.1,0.1,"128, 64",relu,4,james,4,32,0.1,"1, 1",not minority
model_142,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,16,0.1,"1, 1",not minority
model_134,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,16,0.1,"1, 1",not minority
model_130,1000,16,0.1,0.1,"128, 64",relu,4,james,8,16,0.1,"1, 1",not minority
model_132,1000,16,0.1,0.1,"128, 64",relu,4,james,8,32,0.1,"1, 1",not minority
model_138,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,16,0.1,"1, 1",not minority
model_126,1000,16,0.1,0.1,"128, 64",relu,4,james,6,16,0.1,"1, 1",not minority
model_173,1000,16,0.1,0.1,"128, 64",relu,4,target,6,16,0.01,"1, 1",all
model_189,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,16,0.01,"1, 1",all
model_169,1000,16,0.1,0.1,"128, 64",relu,4,target,4,16,0.01,"1, 1",all
model_175,1000,16,0.1,0.1,"128, 64",relu,4,target,6,32,0.01,"1, 1",all
model_187,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,32,0.01,"1, 1",all
model_191,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,32,0.01,"1, 1",all
model_179,1000,16,0.1,0.1,"128, 64",relu,4,target,8,32,0.01,"1, 1",all
model_183,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,32,0.01,"1, 1",all
model_177,1000,16,0.1,0.1,"128, 64",relu,4,target,8,16,0.01,"1, 1",all
model_181,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,16,0.01,"1, 1",all
model_185,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,16,0.01,"1, 1",all
model_171,1000,16,0.1,0.1,"128, 64",relu,4,target,4,32,0.01,"1, 1",all
model_331,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,32,0.01,"1, 1",1
model_333,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,16,0.01,"1, 1",1
model_313,1000,16,0.1,0.1,"128, 64",relu,4,target,4,16,0.01,"1, 1",1
model_319,1000,16,0.1,0.1,"128, 64",relu,4,target,6,32,0.01,"1, 1",1
model_323,1000,16,0.1,0.1,"128, 64",relu,4,target,8,32,0.01,"1, 1",1
model_315,1000,16,0.1,0.1,"128, 64",relu,4,target,4,32,0.01,"1, 1",1
model_317,1000,16,0.1,0.1,"128, 64",relu,4,target,6,16,0.01,"1, 1",1
model_325,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,16,0.01,"1, 1",1
model_329,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,16,0.01,"1, 1",1
model_321,1000,16,0.1,0.1,"128, 64",relu,4,target,8,16,0.01,"1, 1",1
model_335,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,32,0.01,"1, 1",1
model_327,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,32,0.01,"1, 1",1
model_318,1000,16,0.1,0.1,"128, 64",relu,4,target,6,16,0.1,"1, 1",1
model_316,1000,16,0.1,0.1,"128, 64",relu,4,target,4,32,0.1,"1, 1",1
model_336,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,32,0.1,"1, 1",1
model_322,1000,16,0.1,0.1,"128, 64",relu,4,target,8,16,0.1,"1, 1",1
model_328,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,32,0.1,"1, 1",1
model_334,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,16,0.1,"1, 1",1
model_332,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,32,0.1,"1, 1",1
model_314,1000,16,0.1,0.1,"128, 64",relu,4,target,4,16,0.1,"1, 1",1
model_324,1000,16,0.1,0.1,"128, 64",relu,4,target,8,32,0.1,"1, 1",1
model_330,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,16,0.1,"1, 1",1
model_326,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,16,0.1,"1, 1",1
model_320,1000,16,0.1,0.1,"128, 64",relu,4,target,6,32,0.1,"1, 1",1
model_348,1000,16,0.1,0.1,"128, 64",relu,4,james,8,32,0.1,"1, 1",1
model_296,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,32,0.1,"1, 1",1
model_308,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,32,0.1,"1, 1",1
model_304,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,32,0.1,"1, 1",1
model_340,1000,16,0.1,0.1,"128, 64",relu,4,james,4,32,0.1,"1, 1",1
model_338,1000,16,0.1,0.1,"128, 64",relu,4,james,4,16,0.1,"1, 1",1
model_346,1000,16,0.1,0.1,"128, 64",relu,4,james,8,16,0.1,"1, 1",1
model_302,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,16,0.1,"1, 1",1
model_290,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,16,0.1,"1, 1",1
model_292,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,32,0.1,"1, 1",1
model_342,1000,16,0.1,0.1,"128, 64",relu,4,james,6,16,0.1,"1, 1",1
model_300,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,32,0.1,"1, 1",1
model_310,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,16,0.1,"1, 1",1
model_312,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,32,0.1,"1, 1",1
model_294,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,16,0.1,"1, 1",1
model_344,1000,16,0.1,0.1,"128, 64",relu,4,james,6,32,0.1,"1, 1",1
model_306,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,16,0.1,"1, 1",1
model_298,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,16,0.1,"1, 1",1
model_305,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,16,0.01,"1, 1",1
model_295,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,32,0.01,"1, 1",1
model_301,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,16,0.01,"1, 1",1
model_291,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,32,0.01,"1, 1",1
model_341,1000,16,0.1,0.1,"128, 64",relu,4,james,6,16,0.01,"1, 1",1
model_297,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,16,0.01,"1, 1",1
model_289,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,16,0.01,"1, 1",1
model_337,1000,16,0.1,0.1,"128, 64",relu,4,james,4,16,0.01,"1, 1",1
model_339,1000,16,0.1,0.1,"128, 64",relu,4,james,4,32,0.01,"1, 1",1
model_309,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,16,0.01,"1, 1",1
model_299,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,32,0.01,"1, 1",1
model_303,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,32,0.01,"1, 1",1
model_311,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,32,0.01,"1, 1",1
model_343,1000,16,0.1,0.1,"128, 64",relu,4,james,6,32,0.01,"1, 1",1
model_307,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,32,0.01,"1, 1",1
model_347,1000,16,0.1,0.1,"128, 64",relu,4,james,8,32,0.01,"1, 1",1
model_345,1000,16,0.1,0.1,"128, 64",relu,4,james,8,16,0.01,"1, 1",1
model_293,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,16,0.01,"1, 1",1
model_277,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,16,0.01,"1, 1",0.5
model_283,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,32,0.01,"1, 1",0.5
model_267,1000,16,0.1,0.1,"128, 64",relu,4,james,4,32,0.01,"1, 1",0.5
model_265,1000,16,0.1,0.1,"128, 64",relu,4,james,4,16,0.01,"1, 1",0.5
model_269,1000,16,0.1,0.1,"128, 64",relu,4,james,6,16,0.01,"1, 1",0.5
model_285,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,16,0.01,"1, 1",0.5
model_275,1000,16,0.1,0.1,"128, 64",relu,4,james,8,32,0.01,"1, 1",0.5
model_271,1000,16,0.1,0.1,"128, 64",relu,4,james,6,32,0.01,"1, 1",0.5
model_273,1000,16,0.1,0.1,"128, 64",relu,4,james,8,16,0.01,"1, 1",0.5
model_281,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,16,0.01,"1, 1",0.5
model_279,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,32,0.01,"1, 1",0.5
model_287,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,32,0.01,"1, 1",0.5
model_286,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,16,0.1,"1, 1",0.5
model_288,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,32,0.1,"1, 1",0.5
model_272,1000,16,0.1,0.1,"128, 64",relu,4,james,6,32,0.1,"1, 1",0.5
model_282,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,16,0.1,"1, 1",0.5
model_270,1000,16,0.1,0.1,"128, 64",relu,4,james,6,16,0.1,"1, 1",0.5
model_274,1000,16,0.1,0.1,"128, 64",relu,4,james,8,16,0.1,"1, 1",0.5
model_280,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,32,0.1,"1, 1",0.5
model_278,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,16,0.1,"1, 1",0.5
model_266,1000,16,0.1,0.1,"128, 64",relu,4,james,4,16,0.1,"1, 1",0.5
model_284,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,32,0.1,"1, 1",0.5
model_268,1000,16,0.1,0.1,"128, 64",relu,4,james,4,32,0.1,"1, 1",0.5
model_276,1000,16,0.1,0.1,"128, 64",relu,4,james,8,32,0.1,"1, 1",0.5
model_244,1000,16,0.1,0.1,"128, 64",relu,4,target,4,32,0.1,"1, 1",0.5
model_162,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,16,0.1,"1, 1",all
model_152,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,32,0.1,"1, 1",all
model_248,1000,16,0.1,0.1,"128, 64",relu,4,target,6,32,0.1,"1, 1",0.5
model_156,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,32,0.1,"1, 1",all
model_158,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,16,0.1,"1, 1",all
model_196,1000,16,0.1,0.1,"128, 64",relu,4,james,4,32,0.1,"1, 1",all
model_206,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,16,0.1,"1, 1",all
model_194,1000,16,0.1,0.1,"128, 64",relu,4,james,4,16,0.1,"1, 1",all
model_246,1000,16,0.1,0.1,"128, 64",relu,4,target,6,16,0.1,"1, 1",0.5
model_154,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,16,0.1,"1, 1",all
model_214,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,16,0.1,"1, 1",all
model_262,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,16,0.1,"1, 1",0.5
model_146,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,16,0.1,"1, 1",all
model_200,1000,16,0.1,0.1,"128, 64",relu,4,james,6,32,0.1,"1, 1",all
model_150,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,16,0.1,"1, 1",all
model_166,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,16,0.1,"1, 1",all
model_208,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,32,0.1,"1, 1",all
model_260,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,32,0.1,"1, 1",0.5
model_204,1000,16,0.1,0.1,"128, 64",relu,4,james,8,32,0.1,"1, 1",all
model_168,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,32,0.1,"1, 1",all
model_256,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,32,0.1,"1, 1",0.5
