model,miter,mbs,mlr,ulr,dh,afn,nu,ifp,weights,sampling_strategy,encoding
model_250,1000,16,0.1,0.1,128,relu,4,0,"1, 10",0.75,mestimator
model_166,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",0.5,mestimator
model_320,1000,16,0.1,0.1,128,relu,4,0,"10, 1",0.75,glmm
model_26,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",1,glmm
model_31,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",0.75,catboost
model_261,1000,16,0.1,0.1,128,relu,4,0,"1, 100",not minority,target
model_18,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",all,woe
model_260,1000,16,0.1,0.1,128,relu,4,0,"1, 100",not minority,glmm
model_6,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",minority,woe
model_27,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",1,target
model_396,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",0.75,woe
model_164,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",0.5,glmm
model_397,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 10",minority,catboost
model_14,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",all,glmm
model_134,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",1,glmm
model_20,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",0.5,glmm
model_7,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",not minority,catboost
model_22,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",0.5,mestimator
model_183,1000,16,0.1,0.1,128,relu,4,0,"1, 1",minority,target
model_131,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",0.5,james
model_338,1000,16,0.1,0.1,128,relu,4,0,"100, 1",all,glmm
model_382,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",0.5,mestimator
model_374,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",all,glmm
model_52,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",all,mestimator
model_49,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",all,catboost
model_385,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",1,catboost
model_371,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",not minority,james
model_361,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",minority,catboost
model_345,1000,16,0.1,0.1,128,relu,4,0,"100, 1",0.5,target
model_216,1000,16,0.1,0.1,128,relu,4,0,"1, 1",0.75,woe
model_383,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",0.5,james
model_125,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",all,james
model_391,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",0.75,catboost
model_130,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",0.5,mestimator
model_367,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",not minority,catboost
model_395,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",0.75,james
model_190,1000,16,0.1,0.1,128,relu,4,0,"1, 1",not minority,mestimator
model_212,1000,16,0.1,0.1,128,relu,4,0,"1, 1",0.75,glmm
model_393,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",0.75,target
model_30,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",1,woe
model_370,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",not minority,mestimator
model_355,1000,16,0.1,0.1,128,relu,4,0,"100, 1",0.75,catboost
model_265,1000,16,0.1,0.1,128,relu,4,0,"1, 100",all,catboost
model_206,1000,16,0.1,0.1,128,relu,4,0,"1, 1",1,glmm
model_198,1000,16,0.1,0.1,128,relu,4,0,"1, 1",all,woe
model_377,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",all,james
model_55,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",0.5,catboost
model_244,1000,16,0.1,0.1,128,relu,4,0,"1, 10",1,mestimator
model_360,1000,16,0.1,0.1,128,relu,4,0,"100, 1",0.75,woe
model_24,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",0.5,woe
model_3,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",minority,target
model_207,1000,16,0.1,0.1,128,relu,4,0,"1, 1",1,target
model_378,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",all,woe
model_28,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",1,mestimator
model_194,1000,16,0.1,0.1,128,relu,4,0,"1, 1",all,glmm
model_34,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",0.75,mestimator
model_102,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",1,woe
model_29,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",1,james
model_380,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",0.5,glmm
model_1,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",minority,catboost
model_36,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",0.75,woe
model_5,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",minority,james
model_196,1000,16,0.1,0.1,128,relu,4,0,"1, 1",all,mestimator
model_210,1000,16,0.1,0.1,128,relu,4,0,"1, 1",1,woe
model_23,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",0.5,james
model_25,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",1,catboost
model_208,1000,16,0.1,0.1,128,relu,4,0,"1, 1",1,mestimator
model_15,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",all,target
model_187,1000,16,0.1,0.1,128,relu,4,0,"1, 1",not minority,catboost
