FP,model_498,model_444,model_540,model_48,model_46,model_36,model_30,model_496,model_494,model_452,model_890,model_900,model_896
{'0.0<MEMORY_2<1.0'},0.407665505,0.407665505,0.407665505,0.182926829,0.182926829,0.182926829,0.182926829,0.407665505,0.407665505,0.407665505,0.496515679,0.496515679,0.496515679
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0'}",0.39959432,0.39959432,0.39959432,0.184584178,0.184584178,0.184584178,0.184584178,0.39959432,0.39959432,0.39959432,0.503042596,0.503042596,0.503042596
"{'0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0'}",0.39959432,0.39959432,0.39959432,0.184584178,0.184584178,0.184584178,0.184584178,0.39959432,0.39959432,0.39959432,0.503042596,0.503042596,0.503042596
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q75_2<2.0'}",0.400817996,0.400817996,0.400817996,0.18609407,0.18609407,0.18609407,0.18609407,0.400817996,0.400817996,0.400817996,0.501022495,0.501022495,0.501022495
"{'0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q75_2<2.0'}",0.400817996,0.400817996,0.400817996,0.18609407,0.18609407,0.18609407,0.18609407,0.400817996,0.400817996,0.400817996,0.501022495,0.501022495,0.501022495
"{'0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0'}",0.39959432,0.39959432,0.39959432,0.184584178,0.184584178,0.184584178,0.184584178,0.39959432,0.39959432,0.39959432,0.503042596,0.503042596,0.503042596
"{'0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q75_2<2.0'}",0.400817996,0.400817996,0.400817996,0.18609407,0.18609407,0.18609407,0.18609407,0.400817996,0.400817996,0.400817996,0.501022495,0.501022495,0.501022495
"{'0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0'}",0.39959432,0.39959432,0.39959432,0.184584178,0.184584178,0.184584178,0.184584178,0.39959432,0.39959432,0.39959432,0.503042596,0.503042596,0.503042596
"{'1.0<YEAR_2<2.0', '0.0<Q75_2<2.0', '0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0'}",0.400817996,0.400817996,0.400817996,0.18609407,0.18609407,0.18609407,0.18609407,0.400817996,0.400817996,0.400817996,0.501022495,0.501022495,0.501022495
"{'0.0<Q1781_2<2.0', '0.0<MEMORY_2<1.0'}",0.406631763,0.406631763,0.406631763,0.183246073,0.183246073,0.183246073,0.183246073,0.406631763,0.406631763,0.406631763,0.497382199,0.497382199,0.497382199
"{'0.0<MEMORY_2<1.0', '0.0<Q75_2<2.0'}",0.406028369,0.406028369,0.406028369,0.184397163,0.184397163,0.184397163,0.184397163,0.406028369,0.406028369,0.406028369,0.496453901,0.496453901,0.496453901
"{'0.0<Q1781_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q75_2<2.0'}",0.404973357,0.404973357,0.404973357,0.184724689,0.184724689,0.184724689,0.184724689,0.404973357,0.404973357,0.404973357,0.497335702,0.497335702,0.497335702
"{'0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0'}",0.407665505,0.407665505,0.407665505,0.182926829,0.182926829,0.182926829,0.182926829,0.407665505,0.407665505,0.407665505,0.496515679,0.496515679,0.496515679
"{'0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q75_2<2.0'}",0.406028369,0.406028369,0.406028369,0.184397163,0.184397163,0.184397163,0.184397163,0.406028369,0.406028369,0.406028369,0.496453901,0.496453901,0.496453901
"{'0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0'}",0.406631763,0.406631763,0.406631763,0.183246073,0.183246073,0.183246073,0.183246073,0.406631763,0.406631763,0.406631763,0.497382199,0.497382199,0.497382199
"{'0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q75_2<2.0'}",0.404973357,0.404973357,0.404973357,0.184724689,0.184724689,0.184724689,0.184724689,0.404973357,0.404973357,0.404973357,0.497335702,0.497335702,0.497335702
{'1.0<YEAR_2<2.0'},0.39527027,0.39527027,0.39527027,0.179054054,0.179054054,0.179054054,0.179054054,0.39527027,0.39527027,0.39527027,0.506756757,0.506756757,0.506756757
"{'0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0'}",0.395939086,0.395939086,0.395939086,0.179357022,0.179357022,0.179357022,0.179357022,0.395939086,0.395939086,0.395939086,0.507614213,0.507614213,0.507614213
"{'1.0<YEAR_2<2.0', '0.0<Q75_2<2.0'}",0.39693356,0.39693356,0.39693356,0.180579216,0.180579216,0.180579216,0.180579216,0.39693356,0.39693356,0.39693356,0.505962521,0.505962521,0.505962521
"{'0.0<Q1781_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q75_2<2.0'}",0.39693356,0.39693356,0.39693356,0.180579216,0.180579216,0.180579216,0.180579216,0.39693356,0.39693356,0.39693356,0.505962521,0.505962521,0.505962521
"{'0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0'}",0.394915254,0.394915254,0.394915254,0.179661017,0.179661017,0.179661017,0.179661017,0.394915254,0.394915254,0.394915254,0.506779661,0.506779661,0.506779661
"{'0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q75_2<2.0'}",0.396581197,0.396581197,0.396581197,0.181196581,0.181196581,0.181196581,0.181196581,0.396581197,0.396581197,0.396581197,0.505982906,0.505982906,0.505982906
"{'0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0'}",0.395585739,0.395585739,0.395585739,0.179966044,0.179966044,0.179966044,0.179966044,0.395585739,0.395585739,0.395585739,0.507640068,0.507640068,0.507640068
"{'0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q75_2<2.0'}",0.396581197,0.396581197,0.396581197,0.181196581,0.181196581,0.181196581,0.181196581,0.396581197,0.396581197,0.396581197,0.505982906,0.505982906,0.505982906
{'0.0<LASTDAY_2<2.0'},0.401315789,0.401315789,0.401315789,0.175,0.175,0.175,0.175,0.401315789,0.401315789,0.401315789,0.502631579,0.502631579,0.502631579
{'0.0<Q75_2<2.0'},0.398184176,0.398184176,0.398184176,0.173800259,0.173800259,0.173800259,0.173800259,0.398184176,0.398184176,0.398184176,0.501945525,0.501945525,0.501945525
"{'0.0<LASTDAY_2<2.0', '0.0<Q75_2<2.0'}",0.398373984,0.398373984,0.398373984,0.176151762,0.176151762,0.176151762,0.176151762,0.398373984,0.398373984,0.398373984,0.505420054,0.505420054,0.505420054
{'0.0<Q1781_2<2.0'},0.396683673,0.396683673,0.396683673,0.173469388,0.173469388,0.173469388,0.173469388,0.396683673,0.396683673,0.396683673,0.503826531,0.503826531,0.503826531
"{'0.0<Q1781_2<2.0', '0.0<Q75_2<2.0'}",0.396325459,0.396325459,0.396325459,0.174540682,0.174540682,0.174540682,0.174540682,0.396325459,0.396325459,0.396325459,0.503937008,0.503937008,0.503937008
"{'0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0'}",0.399467377,0.399467377,0.399467377,0.175765646,0.175765646,0.175765646,0.175765646,0.399467377,0.399467377,0.399467377,0.504660453,0.504660453,0.504660453
"{'0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q75_2<2.0'}",0.396998636,0.396998636,0.396998636,0.177353342,0.177353342,0.177353342,0.177353342,0.396998636,0.396998636,0.396998636,0.506139154,0.506139154,0.506139154
