model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_27796,0.96897,0.97050,0.93981,0.95773,0.96800,0.97300,nan,0.97050,0.97286,0.96800,0.97043,0.97050
model_15244,0.96897,0.97050,0.93981,0.95773,0.96800,0.97300,0.9951874836743306,0.97050,0.97286,0.96800,0.97043,0.97050
model_3826,0.96897,0.97050,0.93981,0.95773,0.96800,0.97300,nan,0.97050,0.97286,0.96800,0.97043,0.97050
model_26284,0.96894,0.97200,0.94287,0.96103,0.96700,0.97700,nan,0.97200,0.97677,0.96700,0.97186,0.97200
model_6304,0.96894,0.97200,0.94287,0.96103,0.96700,0.97700,0.9830100942916912,0.97200,0.97677,0.96700,0.97186,0.97200
model_29634,0.96894,0.93250,0.86227,0.88341,0.99200,0.87300,nan,0.93250,0.88651,0.99200,0.93629,0.93250
model_27944,0.96887,0.96550,0.92961,0.94708,0.97100,0.96000,0.8761253288330341,0.96550,0.96044,0.97100,0.96569,0.96550
model_39810,0.96885,0.94650,0.89084,0.90905,0.98300,0.91000,nan,0.94650,0.91612,0.98300,0.94838,0.94650
model_29912,0.96884,0.92750,0.85207,0.87477,0.99500,0.86000,nan,0.92750,0.87665,0.99500,0.93208,0.92750
model_17248,0.96884,0.96700,0.93267,0.95029,0.97000,0.96400,0.8408037779890761,0.96700,0.96421,0.97000,0.96710,0.96700
model_8978,0.96878,0.97000,0.93879,0.95679,0.96800,0.97200,0.8520214954292141,0.97000,0.97189,0.96800,0.96994,0.97000
model_30532,0.96877,0.92100,0.83881,0.86382,0.99900,0.84300,nan,0.92100,0.86419,0.99900,0.92672,0.92100
model_15232,0.96875,0.93200,0.86125,0.88263,0.99200,0.87200,nan,0.93200,0.88571,0.99200,0.93585,0.93200
model_30522,0.96874,0.97150,0.94185,0.96008,0.96700,0.97600,nan,0.97150,0.97578,0.96700,0.97137,0.97150
model_15508,0.96874,0.96200,0.92246,0.93985,0.97300,0.95100,nan,0.96200,0.95205,0.97300,0.96241,0.96200
model_30534,0.96868,0.92550,0.84799,0.87143,0.99600,0.85500,nan,0.92550,0.87292,0.99600,0.93041,0.92550
model_8886,0.96858,0.96950,0.93777,0.95584,0.96800,0.97100,0.964932088061218,0.96950,0.97091,0.96800,0.96945,0.96950
model_26282,0.96858,0.96950,0.93777,0.95584,0.96800,0.97100,nan,0.96950,0.97091,0.96800,0.96945,0.96950
model_4512,0.96855,0.97100,0.94083,0.95913,0.96700,0.97500,0.9780554641200149,0.97100,0.97480,0.96700,0.97088,0.97100
model_3530,0.96854,0.95200,0.90206,0.91984,0.97900,0.92500,nan,0.95200,0.92884,0.97900,0.95326,0.95200
model_29704,0.96849,0.97400,0.94695,0.96579,0.96500,0.98300,0.9753590400234379,0.97400,0.98269,0.96500,0.97376,0.97400
