model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_306,0.47477,0.40067,-0.21706,0.49782,0.50803,0.29512,0.9031498670755541,0.39577,0.41107,0.50803,0.44086,0.40158
model_287,0.47203,0.67030,0.33125,0.65502,0.48004,0.86647,0.9610970211231049,0.65767,0.56675,0.48004,0.46662,0.67326
model_147,0.47182,0.66711,0.32114,0.65273,0.47745,0.86254,0.9583484197528079,0.65146,0.53693,0.47745,0.47064,0.67000
model_337,0.46711,0.66058,0.30793,0.64528,0.47252,0.85445,0.9627931527732823,0.64773,0.55705,0.47252,0.46725,0.66349
model_146,0.45884,0.64041,0.26405,0.63392,0.46132,0.82568,0.9686266599651948,0.62553,0.63532,0.46132,0.47230,0.64350
model_350,0.45877,0.63706,0.25766,0.63544,0.46975,0.81180,0.9942855169075339,0.62003,0.69235,0.46975,0.46421,0.64078
model_257,0.45240,0.63257,0.25705,0.62290,0.47407,0.79790,0.9572851061068792,0.62358,0.46499,0.47407,0.43045,0.63599
model_316,0.45008,0.66995,0.32947,0.67097,0.41649,0.92737,0.9271302727228045,0.65536,0.83072,0.41649,0.52166,0.67193
model_340,0.44273,0.63817,0.26185,0.62804,0.45192,0.83016,0.9604032677792443,0.62589,0.59311,0.45192,0.43959,0.64104
model_304,0.44012,0.64547,0.27109,0.63835,0.41021,0.88430,0.9337704092756369,0.62784,0.80503,0.41021,0.50405,0.64726
model_317,0.43869,0.65817,0.31356,0.65072,0.42146,0.90005,0.911267451201779,0.65376,0.75968,0.42146,0.48337,0.66075
model_81,0.43721,0.53212,0.05468,0.54223,0.50749,0.56756,0.9995630188376107,0.52930,0.28807,0.50749,0.36470,0.53752
model_490,0.43233,0.65036,0.28833,0.64280,0.40976,0.89602,0.9037039156957135,0.63636,0.70971,0.40976,0.47985,0.65289
model_415,0.43164,0.55368,0.09957,0.57719,0.41712,0.69291,0.886404925396327,0.54013,0.55625,0.41712,0.46091,0.55501
model_279,0.43154,0.65593,0.29629,0.64960,0.42371,0.89410,0.9448523168571729,0.63938,0.63650,0.42371,0.45255,0.65890
model_179,0.43053,0.61877,0.21171,0.61121,0.44882,0.79614,0.9721261331949081,0.59854,0.52781,0.44882,0.41984,0.62248
